site_location	stars	conrtibutor_name	how_long_ago	review_title	review	can_be_recommended	value_for_money	product_quality	appearance	ease_of_assembly-installation	works_as_expected	helpful_yes	helpful_no
us	4	tammy3	a year ago	Worth it	Probably 10 years ago I bought the Billy 3 shelf bookcase in white because of the price but with white apts walls I grew tired of it. So I sold it last year and in December I bought the Billy bookcase in brown/black. The box fit in the trunk of my car (yay) and assembly was still easy enough that I could put it together myself (yay).	Yes	4	4	4	4	4	2	0
us	5	katierose	a year ago	Old friend	I bought my first Billy in the 1990s. They are classic, simple and are eminently useful. Over four moves to four different states we have found that leaving the Billys behind and buying new was much simpler and cost effective.	Yes	5	4	5	5	5	0	0
us	5	qtkitzy2005	a year ago	Easy, Sturdy, Amazing	KEA i just fell in love with my book case. i was handed the box, told, "good luck from what i hear it may take a while". i have heard IKEA furniture always has complicated assemblies, but not bad. Pretty easy, and the actual book case looks great! Very sturdy!!!	Yes	5	5	5	5	5	0	0
us	5	Jackie1111	a year ago	goo product	Good Product	Yes	5	5	5	5	5	0	0
us	5	Edmonds1212	a year ago	Very sturdy	I bought this bookshelf a month ago. Very sturdy, easy to put together and modern looking.	Yes	5	5	5	5	5	1	0
us	4	Damma	a year ago	Just what we needed.	We bought this to use as a television stand/book case for a bedroom corner. It is a perfect fit.	Yes	5	4	4	5	5	0	0
us	5	Terry49	a year ago	BILLY IS THE BOMB!	Bought 2 for my daughter’s room. My husband bolted them together and mounted her TV on the wall above. Perfect! You cannot beat the quality or the price!	Yes	5	5	5	5	5	0	0
us	5	Beccab1981	a year ago	Very satisfied	Looks great, seems very sturdy so far. Was very easy for me and my 7 year old daughter to put together	Yes	5	5	5	5	5	1	0
us	5	MSinLA	a year ago	Easy to assemble and looks great	I am not a handy person, so I was happy to see how easy this is to assemble. (Look carefully at diagrams - I made a mistake, but it was easy to fix.) Also, it looks good and fits well into smaller space. It does the job!	Yes	5	4	5	4	5	0	0
us	5	Jillquilt	a year ago	Perfect for my studio space	Have several Billy bookcases in my studio (I am a quilter) and find they are very versatile for my needs. Adding the baskets, magazine holders, and moving the shelves makes it customizable for almost any purpose.	Yes	5	5	5	5	5	2	0
us	5	abcd17	a year ago	Easy to assemble, very nice!!!	Yes	5	4	5	5	5	0	0
us	5	Farmerjane	a year ago	Great.	Such a nice little cabinet. Perfect for our space. And the doors enhance the clean look. The knobs were very plain and small but it was easy to swap them out for some pretty ones from World Market.	Yes	5	4	5	4	5	0	2
us	4	the lad	a year ago	Nice little bookcase	Fits nicely in my computer room and helps get binders and such off the floors. Looks nice.	Yes	4	4	4	5	5	1	0
us	4	DiyDaddy	a year ago	Classic look!	Love these Billy bookcases, i have 3 and plan to get more. Some of the parts were damaged when i un-boxed (particle wood was cracked or missing) but it was on the side that wouldn’t be noticed so I said I’m not driving all the way back to exchange it.	Yes	4	4	5	5	5	0	0
us	5	Bookluvr	a year ago	Love this shelf	This is the third shelf line this that i have bought and love all of them.	Yes	5	5	5	5	5	0	0
us	5	asus	a year ago	Perfect fit	Bought the second one and love it.	Yes	4	5	4	5	4	0	1
us	5	Anonymous	a year ago	Awesome standard for my home	This is my second set of these bookshelves and I adore them. My first set was moved long distances and they never aged - I left them in place with my final international move since it was cheaper to buy new ones. I love the birch since they look stylish but don't stick out in my white interior home. The three shelves hold any books I want and the tops are super for displaying art and other lovely things. I feel these shelves look more expensive then they cost and they are easy to put together (especially if you follow the directions and set out your tools before starting). I'm happy to have these in my home again.	Yes	5	5	5	5	5	1	0
us	5	Frankie 25	a year ago	Easy to use and to set up	Perfect size not too big and fit the need for books and toys !	Yes	5	5	5	5	5	0	0
us	5	vicki66	a year ago	Perfect Fit	I purchased three Billy bookcases which gave me a total measurement of 97"x41". The assembly was so easy (what is the sound of one woman working? Yippy yeah); everything fit together perfectly. And the shelves support all of my books, and I have plenty! The white color against my dark green walls is stunning. I couldn't be happier. :-)	Yes	5	5	5	5	5	0	0
us	3	Nittney	a year ago	Priced to high	I bought this bookshelf about a month ago. In the store it looked really good, but once I got it home and started putting it together I realized that the quality of this product isn’t worth how much it cost me. Next time I will just go to my local Walmart buy one because that is the type of quality this bookshelf is for a far lesser value.	No	1	1	2	3	2	0	0
us	5	JeanR	a year ago	Great bookcase!	I got this for my toddler's room and he loves it! It was easy to put together and seems pretty sturdy. Great price too!	Yes	5	4	4	5	4	0	0
us	5	Bob T	a year ago	Great value	Good sturdy bookcase. Easy to assemble. Simple clean look.	Yes	5	5	5	5	5	0	0
us	5	Massing fam	a year ago	Perfect kids bookshelf	Such a sturdy shelf for the price, and it was very easy to put together.	Yes	5	5	5	5	5	0	0
us	5	Katherine66	a year ago	None	Yay!!! Excellent product!!	Yes	5	5	5	5	5	0	0
us	5	Patrick f	a year ago	Billy	I was very pleased with the Billy bookcase.	Yes	5	5	5	5	5	0	0
us	4	blev	a year ago	(Almost) Exactly What We Needed!	This was bought to create a "personal space" for an 8-year-old whose things had begun taking over a room in her grandparents' house. Along with the doors we added (separate review), it does the job admirably, The missing star comes from the fact that it would have been perfect with the Billy height extender -- but it was NOT clear that the height extender works ONLY with the tall Billy, not the short Billy. Still, we're satisfied with the purchase. There were cheaper non-IKEA options, but none of them looked anywhere nearly as nice and most were not as deep as the Billy (thus offered less usable storage space).	Yes	4	5	5	5	4	0	0
